  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3044   0.01071   0.00442  -0.0583   0.9589   0.0908
  -4.500  -0.2452   0.01006   0.00387  -0.0589   0.9469   0.1167
  -4.000  -0.1886   0.00949   0.00341  -0.0589   0.9330   0.1526
  -3.500  -0.1342   0.00895   0.00303  -0.0584   0.9163   0.1994
  -3.000  -0.0806   0.00845   0.00270  -0.0576   0.8972   0.2563
  -2.500  -0.0270   0.00801   0.00243  -0.0569   0.8759   0.3229
  -2.000   0.0257   0.00756   0.00221  -0.0561   0.8508   0.4072
  -1.500   0.0776   0.00707   0.00205  -0.0551   0.8242   0.5312
  -1.000   0.1289   0.00669   0.00197  -0.0537   0.7952   0.6524
  -0.500   0.1794   0.00642   0.00196  -0.0521   0.7637   0.7603
   0.000   0.2291   0.00631   0.00201  -0.0500   0.7308   0.8535
   0.500   0.2807   0.00641   0.00210  -0.0481   0.6971   0.9240
   1.000   0.3452   0.00665   0.00221  -0.0493   0.6620   0.9641
   1.500   0.4211   0.00693   0.00231  -0.0534   0.6256   0.9847
   2.000   0.5037   0.00721   0.00241  -0.0592   0.5890   0.9967
   2.500   0.5634   0.00744   0.00249  -0.0601   0.5563   1.0000
   3.000   0.6111   0.00769   0.00261  -0.0585   0.5261   1.0000
   3.500   0.6587   0.00797   0.00276  -0.0569   0.4961   1.0000
   4.000   0.7064   0.00829   0.00297  -0.0552   0.4653   1.0000
   4.500   0.7542   0.00864   0.00321  -0.0536   0.4329   1.0000
   5.000   0.8023   0.00902   0.00349  -0.0520   0.3967   1.0000
   5.500   0.8498   0.00953   0.00384  -0.0504   0.3532   1.0000
   6.000   0.8967   0.01016   0.00428  -0.0488   0.3019   1.0000
   6.500   0.9419   0.01101   0.00486  -0.0471   0.2438   1.0000
   7.000   0.9858   0.01202   0.00558  -0.0452   0.1842   1.0000
   7.500   1.0288   0.01312   0.00642  -0.0433   0.1325   1.0000
   8.000   1.0709   0.01427   0.00737  -0.0413   0.0953   1.0000
   8.500   1.1125   0.01540   0.00840  -0.0392   0.0725   1.0000
   9.000   1.1528   0.01657   0.00952  -0.0369   0.0587   1.0000
   9.500   1.1911   0.01779   0.01074  -0.0344   0.0497   1.0000
  10.000   1.2272   0.01904   0.01206  -0.0316   0.0435   1.0000
  10.500   1.2553   0.02052   0.01361  -0.0275   0.0390   1.0000
  11.000   1.2806   0.02210   0.01524  -0.0234   0.0354   1.0000
  11.500   1.3034   0.02394   0.01724  -0.0194   0.0327   1.0000
  12.000   1.3248   0.02599   0.01939  -0.0159   0.0305   1.0000
  12.500   1.3365   0.02895   0.02248  -0.0121   0.0286   1.0000
  13.000   1.3552   0.03161   0.02531  -0.0097   0.0269   1.0000
  13.500   1.3676   0.03504   0.02886  -0.0076   0.0255   1.0000
  14.000   1.3682   0.03987   0.03384  -0.0056   0.0244   1.0000
  14.500   1.3771   0.04424   0.03845  -0.0048   0.0235   1.0000
  15.000   1.3815   0.04932   0.04374  -0.0045   0.0226   1.0000
